Year,Park,Site,Borough,Latitude,Longitude,SM_ID,Sex_01,Weight,ISCAP_Larva,DON_IS,DIN_Borrelia,DIN_Babesia,Borrelia_qPCR,Babesia_qPCR,Effort_qPCR,Connect_site_1000,Impervious_site,SM_abundance,MM_abundance
2024,Fairview,SI-FW20,Staten Island,40.5322996,-74.233597,SM-142,0,30,3,1.4,0.5,0.3,0,0,2,37.25329959,0.2477,9.09,35.29
2024,Fairview,SI-FW20,Staten Island,40.5320532,-74.233837,SM-143,1,29,2,1.4,0.5,0.3,1,0,1,37.25329959,0.2477,9.09,35.29
2024,Fairview,SI-FW20,Staten Island,40.5312247,-74.234842,SM-146,0,21,0,1.4,0.5,0.3,1,0,1,37.25329959,0.2477,9.09,35.29
2024,Fairview,SI-FW20,Staten Island,40.5310675,-74.23508,SM-147,0,15,11,1.4,0.5,0.3,0,0,2,37.25329959,0.2477,9.09,35.29
2023,Lemon Creek,SI-LC21,Staten Island,40.5230359,-74.202959,SM-043,0,23,5,0.875,0.375,0.0625,1,0,2,28.78764552,0.2358,9.38,24.14
2023,Lemon Creek,SI-LC21,Staten Island,40.5230754,-74.202564,SM-041,0,22,4,0.875,0.375,0.0625,1,0,2,28.78764552,0.2358,9.38,24.14
2023,Lemon Creek,SI-LC21,Staten Island,40.5230359,-74.202959,SM-042,1,25,11,0.875,0.375,0.0625,1,0,1,28.78764552,0.2358,9.38,24.14
2023,Lemon Creek,SI-LC21,Staten Island,40.5201985,-74.20068,SM-046,1,28,2,0.875,0.375,0.0625,1,1,1,28.78764552,0.2358,9.38,24.14
2024,Lemon Creek,SI-LC21,Staten Island,40.5225654,-74.202742,SM-163,1,22,0,0.875,0.375,0.0625,1,0,2,28.78764552,0.2358,3.79,30.95
2024,Lemon Creek,SI-LC21,Staten Island,40.5229946,-74.202679,SM-164,0,16,0,0.875,0.375,0.0625,0,0,2,28.78764552,0.2358,3.79,30.95
2023,Lemon Creek,SI-LC21,Staten Island,40.522831,-74.203296,SM-040,0,23,10,0.875,0.375,0.0625,1,0,2,28.78764552,0.2358,9.38,24.14
2024,Lemon Creek,SI-LC21,Staten Island,40.522831,-74.203296,SM-151,0,15,4,0.875,0.375,0.0625,0,0,1,28.78764552,0.2358,3.79,30.95
2023,Lemon Creek,SI-LC21,Staten Island,40.522831,-74.203296,SM-047,1,20,3,0.875,0.375,0.0625,0,0,2,28.78764552,0.2358,9.38,24.14
2023,Lemon Creek,SI-LC21,Staten Island,40.522831,-74.203296,SM-039,1,22,4,0.875,0.375,0.0625,1,0,2,28.78764552,0.2358,9.38,24.14
2023,Lemon Creek,SI-LC21,Staten Island,40.5225656,-74.202742,SM-044,1,13,0,0.875,0.375,0.0625,0,0,1,28.78764552,0.2358,9.38,24.14
2023,Lemon Creek,SI-LC21,Staten Island,40.5204505,-74.200932,SM-045,0,22,3,0.875,0.375,0.0625,1,1,2,28.78764552,0.2358,9.38,24.14
2024,Lemon Creek,SI-LC21,Staten Island,40.522831,-74.203296,SM-152,0,18,4,0.875,0.375,0.0625,0,0,1,28.78764552,0.2358,3.79,30.95
2024,Lemon Creek,SI-LC21,Staten Island,40.5201987,-74.20068,SM-153,1,15,0,0.875,0.375,0.0625,0,0,1,28.78764552,0.2358,3.79,30.95
2024,Lemon Creek,SI-LC21,Staten Island,40.522831,-74.203296,SM-162,1,21,0,0.875,0.375,0.0625,0,0,1,28.78764552,0.2358,3.79,30.95
2023,Lemon Creek,SI-LC21,Staten Island,40.5204505,-74.200932,SM-048,1,24,2,0.875,0.375,0.0625,1,0,1,28.78764552,0.2358,9.38,24.14
2023,Long Pond,SI-LP02,Staten Island,40.5155671,-74.230512,SM-001,0,21,12,2.4,0.2667,0.2667,1,1,1,20.03448062,0.1353,1.52,11.11
2023,Mount Loretto,SI-ML03,Staten Island,40.5135341,-74.218554,SM-027,0,17,1,2.3077,0.3077,0.1538,0,0,2,24.25631222,0.1859,1.75,19.23
